Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Symbol
2016-01-01 00:00:00+09:00,18818.580078125,18951.119140625,16017.259765625,17518.30078125,3235900000,0.0,0.0,^N225
2016-02-01 00:00:00+09:00,17699.599609375,17905.369140625,14865.76953125,16026.759765625,4174100000,0.0,0.0,^N225
2016-03-01 00:00:00+09:00,16013.0,17291.349609375,15857.3701171875,16758.669921875,3307500000,0.0,0.0,^N225
2016-04-01 00:00:00+09:00,16719.560546875,17613.560546875,15471.7998046875,16666.05078125,3230600000,0.0,0.0,^N225
2016-05-01 00:00:00+09:00,16357.099609375,17251.359375,15975.4697265625,17234.98046875,2563800000,0.0,0.0,^N225
2016-06-01 00:00:00+09:00,17097.220703125,17145.94921875,14864.009765625,15575.919921875,3093000000,0.0,0.0,^N225
2016-07-01 00:00:00+09:00,15698.01953125,16938.9609375,15106.51953125,16569.26953125,2816900000,0.0,0.0,^N225
2016-08-01 00:00:00+09:00,16415.310546875,16943.669921875,15921.0400390625,16887.400390625,2675600000,0.0,0.0,^N225
2016-09-01 00:00:00+09:00,16885.16015625,17156.359375,16285.41015625,16449.83984375,2493200000,0.0,0.0,^N225
2016-10-01 00:00:00+09:00,16566.029296875,17461.029296875,16554.830078125,17425.01953125,2222800000,0.0,0.0,^N225
2016-11-01 00:00:00+09:00,17380.5390625,18482.939453125,16111.8095703125,18308.48046875,3226000000,0.0,0.0,^N225
2016-12-01 00:00:00+09:00,18535.240234375,19592.900390625,18227.390625,19114.369140625,3038700000,0.0,0.0,^N225
2017-01-01 00:00:00+09:00,19298.6796875,19615.400390625,18650.330078125,19041.33984375,2440400000,0.0,0.0,^N225
2017-02-01 00:00:00+09:00,18926.970703125,19519.439453125,18805.3203125,19118.990234375,2606300000,0.0,0.0,^N225
2017-03-01 00:00:00+09:00,19226.939453125,19668.009765625,18909.259765625,18909.259765625,2646000000,0.0,0.0,^N225
2017-04-01 00:00:00+09:00,18988.0,19289.4296875,18224.6796875,19196.740234375,2178500000,0.0,0.0,^N225
2017-05-01 00:00:00+09:00,19154.029296875,19998.490234375,19144.619140625,19650.5703125,2230200000,0.0,0.0,^N225
2017-06-01 00:00:00+09:00,19692.16015625,20318.109375,19686.3203125,20033.4296875,2326500000,0.0,0.0,^N225
2017-07-01 00:00:00+09:00,20056.3203125,20200.880859375,19856.650390625,19925.1796875,1790600000,0.0,0.0,^N225
2017-08-01 00:00:00+09:00,19907.080078125,20113.73046875,19280.01953125,19646.240234375,1876000000,0.0,0.0,^N225
2017-09-01 00:00:00+09:00,19733.5703125,20481.26953125,19239.51953125,20356.279296875,1807500000,0.0,0.0,^N225
2017-10-01 00:00:00+09:00,20400.509765625,22086.880859375,20363.279296875,22011.609375,1872800000,0.0,0.0,^N225
2017-11-01 00:00:00+09:00,22144.919921875,23382.150390625,21972.33984375,22724.9609375,1981200000,0.0,0.0,^N225
2017-12-01 00:00:00+09:00,22916.9296875,22994.330078125,22119.2109375,22764.939453125,1539000000,0.0,0.0,^N225
2018-01-01 00:00:00+09:00,23073.73046875,24129.33984375,23065.19921875,23098.2890625,1606300000,0.0,0.0,^N225
2018-02-01 00:00:00+09:00,23276.099609375,23492.76953125,20950.150390625,22068.240234375,1840200000,0.0,0.0,^N225
2018-03-01 00:00:00+09:00,21901.130859375,21971.16015625,20347.490234375,21454.30078125,1732700000,0.0,0.0,^N225
2018-04-01 00:00:00+09:00,21441.5703125,22495.560546875,21056.01953125,22467.869140625,1386000000,0.0,0.0,^N225
2018-05-01 00:00:00+09:00,22453.419921875,23050.390625,21931.650390625,22201.8203125,1607600000,0.0,0.0,^N225
2018-06-01 00:00:00+09:00,22126.25,23011.5703125,22038.400390625,22304.509765625,1513500000,0.0,0.0,^N225
2018-07-01 00:00:00+09:00,22233.80078125,22949.3203125,21462.94921875,22553.720703125,1523800000,0.0,0.0,^N225
2018-08-01 00:00:00+09:00,22642.1796875,23032.169921875,21851.3203125,22865.150390625,1515200000,0.0,0.0,^N225
2018-09-01 00:00:00+09:00,22819.169921875,24286.099609375,22172.900390625,24120.0390625,1447600000,0.0,0.0,^N225
2018-10-01 00:00:00+09:00,24173.369140625,24448.0703125,20971.9296875,21920.4609375,1822800000,0.0,0.0,^N225
